test_position,image_path,true_condition,predicted_condition
167,raw/color/Tomato___Early_blight/f7beb64a-f8be-46d8-b4ea-637fb71e7509___RS_Erly.B 7711.JPG,Early_blight,Target_Spot
168,raw/color/Tomato___Early_blight/6021f415-8463-41eb-ad4c-4033f7d16798___RS_Erly.B 7710.JPG,Early_blight,Target_Spot
191,raw/color/Tomato___Early_blight/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855.JPG,Early_blight,Late_blight
725,raw/color/Tomato___Target_Spot/b9e0a7ff-7055-4184-a8bd-ff4321dc8dee___Com.G_TgS_FL 7866.JPG,Target_Spot,Septoria_leaf_spot
870,raw/color/Tomato___Target_Spot/c799a079-5151-4d82-bc0f-23979da84d4b___Com.G_TgS_FL 0798.JPG,Target_Spot,Early_blight
1019,raw/color/Tomato___Bacterial_spot/ddfa387b-e1ba-4033-aea8-e6644c19b0fa___GCREC_Bact.Sp 3563.JPG,Bacterial_spot,Target_Spot
1020,raw/color/Tomato___Bacterial_spot/3cd5b241-d5f1-4ae7-92ea-447613dac98a___GCREC_Bact.Sp 3561.JPG,Bacterial_spot,Target_Spot
1022,raw/color/Tomato___Bacterial_spot/0a1655ed-797c-4d1d-ba35-dc255d68a2ee___GCREC_Bact.Sp 3560.JPG,Bacterial_spot,Target_Spot
1125,raw/color/Tomato___Bacterial_spot/7bd0f0c4-082e-4da4-ade1-a1d79637949c___GCREC_Bact.Sp 3664.JPG,Bacterial_spot,Septoria_leaf_spot
1267,raw/color/Tomato___Bacterial_spot/4707268c-7dea-4327-9b13-a8da598c4356___GCREC_Bact.Sp 3643.JPG,Bacterial_spot,Target_Spot
1268,raw/color/Tomato___Bacterial_spot/927b90a6-6318-47b0-93fd-a1c33d2d36c5___GCREC_Bact.Sp 3641.JPG,Bacterial_spot,Target_Spot
1270,raw/color/Tomato___Bacterial_spot/66348a1f-6ca3-43c3-9883-ccf79c8dec89___GCREC_Bact.Sp 3640.JPG,Bacterial_spot,Target_Spot
1535,raw/color/Tomato___Septoria_leaf_spot/94af2c43-753b-459f-8767-da8cee61bfe1___JR_Sept.L.S 2496.JPG,Septoria_leaf_spot,Tomato_mosaic_virus
1565,raw/color/Tomato___Septoria_leaf_spot/52b3119d-4f5e-41b0-948f-7a1d3b1341eb___JR_Sept.L.S 8495.JPG,Septoria_leaf_spot,Leaf_Mold
